timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1724655295681,201,Login-137,200,OK,Spike test 1-30,text,true,,1136,1913,1,1,https://play.google.com/log?format=json&hasfast=true&authuser=0,201,0,118
1724655295887,162,Login-138,200,OK,Spike test 1-30,text,true,,2129,146,2,2,https://spclient.wg.spotify.com/v1/live-tile-xml?region=VN&language=vi-VN,162,0,79
1724655296050,112,Login-139,200,OK,Spike test 1-30,text,true,,1197,967,2,2,https://beacons.gcp.gvt2.com/domainreliability/upload,112,0,68
1724655296000,162,Login-137,200,OK,Spike test 1-29,text,true,,1204,1913,2,2,https://play.google.com/log?format=json&hasfast=true&authuser=0,162,0,68
1724655296163,80,Login-140,204,No Content,Spike test 1-30,text,true,,391,1297,2,2,https://video.google.com/api/stats/watchtime?ns=gd&el=preview&cpn=ffkXBc4gPbSRuVEQ&ver=2&cmt=724.26&fmt=137&fs=0&rt=914.321&euri=https%3A%2F%2Fdrive.google.com%2F&lact=33799&cl=665637979&state=paused&volume=100&cbr=Chrome&cbrver=126.0.0.0&c=WEB_EMBEDDED_PLAYER&cver=1.20240820.01.00&cplayer=UNIPLAYER&cos=Windows&cosver=10.0&cplatform=DESKTOP&hl=en_US&cr=VN&len=747.357&rtn=954&afmt=140&idpj=-1&ldpj=-3&rti=914&st=721.96&et=724.26&muted=0&docid=1CfAfELzNft4MijLESZ9jLCLUHvCHsySf,0,0,55
1724655296163,140,Login-138,200,OK,Spike test 1-29,text,true,,2204,146,2,2,https://spclient.wg.spotify.com/v1/live-tile-xml?region=VN&language=vi-VN,140,0,65
1724655296304,96,Login-139,200,OK,Spike test 1-29,text,true,,1154,967,3,3,https://beacons.gcp.gvt2.com/domainreliability/upload,96,0,64
1724655296401,73,Login-140,204,No Content,Spike test 1-29,text,true,,391,1297,3,3,https://video.google.com/api/stats/watchtime?ns=gd&el=preview&cpn=ffkXBc4gPbSRuVEQ&ver=2&cmt=724.26&fmt=137&fs=0&rt=914.321&euri=https%3A%2F%2Fdrive.google.com%2F&lact=33799&cl=665637979&state=paused&volume=100&cbr=Chrome&cbrver=126.0.0.0&c=WEB_EMBEDDED_PLAYER&cver=1.20240820.01.00&cplayer=UNIPLAYER&cos=Windows&cosver=10.0&cplatform=DESKTOP&hl=en_US&cr=VN&len=747.357&rtn=954&afmt=140&idpj=-1&ldpj=-3&rti=914&st=721.96&et=724.26&muted=0&docid=1CfAfELzNft4MijLESZ9jLCLUHvCHsySf,0,0,48
1724655296331,147,Login-137,200,OK,Spike test 1-28,text,true,,1035,1913,3,3,https://play.google.com/log?format=json&hasfast=true&authuser=0,147,0,66
1724655296479,152,Login-138,200,OK,Spike test 1-28,text,true,,1778,146,3,3,https://spclient.wg.spotify.com/v1/live-tile-xml?region=VN&language=vi-VN,152,0,64
1724655296632,81,Login-139,200,OK,Spike test 1-28,text,true,,1154,967,4,4,https://beacons.gcp.gvt2.com/domainreliability/upload,81,0,56
1724655296664,129,Login-137,200,OK,Spike test 1-27,text,true,,1122,1913,4,4,https://play.google.com/log?format=json&hasfast=true&authuser=0,128,0,50
1724655296713,98,Login-140,204,No Content,Spike test 1-28,text,true,,391,1297,4,4,https://video.google.com/api/stats/watchtime?ns=gd&el=preview&cpn=ffkXBc4gPbSRuVEQ&ver=2&cmt=724.26&fmt=137&fs=0&rt=914.321&euri=https%3A%2F%2Fdrive.google.com%2F&lact=33799&cl=665637979&state=paused&volume=100&cbr=Chrome&cbrver=126.0.0.0&c=WEB_EMBEDDED_PLAYER&cver=1.20240820.01.00&cplayer=UNIPLAYER&cos=Windows&cosver=10.0&cplatform=DESKTOP&hl=en_US&cr=VN&len=747.357&rtn=954&afmt=140&idpj=-1&ldpj=-3&rti=914&st=721.96&et=724.26&muted=0&docid=1CfAfELzNft4MijLESZ9jLCLUHvCHsySf,0,0,66
1724655296793,125,Login-138,200,OK,Spike test 1-27,text,true,,1778,146,4,4,https://spclient.wg.spotify.com/v1/live-tile-xml?region=VN&language=vi-VN,125,0,48
1724655296918,73,Login-139,200,OK,Spike test 1-27,text,true,,1154,967,4,4,https://beacons.gcp.gvt2.com/domainreliability/upload,73,0,49
1724655296991,97,Login-140,204,No Content,Spike test 1-27,text,true,,391,1297,5,5,https://video.google.com/api/stats/watchtime?ns=gd&el=preview&cpn=ffkXBc4gPbSRuVEQ&ver=2&cmt=724.26&fmt=137&fs=0&rt=914.321&euri=https%3A%2F%2Fdrive.google.com%2F&lact=33799&cl=665637979&state=paused&volume=100&cbr=Chrome&cbrver=126.0.0.0&c=WEB_EMBEDDED_PLAYER&cver=1.20240820.01.00&cplayer=UNIPLAYER&cos=Windows&cosver=10.0&cplatform=DESKTOP&hl=en_US&cr=VN&len=747.357&rtn=954&afmt=140&idpj=-1&ldpj=-3&rti=914&st=721.96&et=724.26&muted=0&docid=1CfAfELzNft4MijLESZ9jLCLUHvCHsySf,0,0,64
1724655296996,130,Login-137,200,OK,Spike test 1-26,text,true,,1224,1913,5,5,https://play.google.com/log?format=json&hasfast=true&authuser=0,130,0,58
1724655297127,158,Login-138,200,OK,Spike test 1-26,text,true,,2129,146,5,5,https://spclient.wg.spotify.com/v1/live-tile-xml?region=VN&language=vi-VN,158,0,50
1724655297286,73,Login-139,200,OK,Spike test 1-26,text,true,,1154,967,6,6,https://beacons.gcp.gvt2.com/domainreliability/upload,73,0,49
1724655297330,131,Login-137,200,OK,Spike test 1-25,text,true,,1203,1913,6,6,https://play.google.com/log?format=json&hasfast=true&authuser=0,131,0,51
1724655297360,147,Login-140,204,No Content,Spike test 1-26,text,true,,391,1297,6,6,https://video.google.com/api/stats/watchtime?ns=gd&el=preview&cpn=ffkXBc4gPbSRuVEQ&ver=2&cmt=724.26&fmt=137&fs=0&rt=914.321&euri=https%3A%2F%2Fdrive.google.com%2F&lact=33799&cl=665637979&state=paused&volume=100&cbr=Chrome&cbrver=126.0.0.0&c=WEB_EMBEDDED_PLAYER&cver=1.20240820.01.00&cplayer=UNIPLAYER&cos=Windows&cosver=10.0&cplatform=DESKTOP&hl=en_US&cr=VN&len=747.357&rtn=954&afmt=140&idpj=-1&ldpj=-3&rti=914&st=721.96&et=724.26&muted=0&docid=1CfAfELzNft4MijLESZ9jLCLUHvCHsySf,0,0,64
1724655296243,1325,Login-141,400,Exception while decoding the payload,Spike test 1-30,text,false,,532,117164,6,6,https://self.events.data.microsoft.com/OneCollector/1.0/,1325,0,362
1724655297462,119,Login-138,200,OK,Spike test 1-25,text,true,,1778,146,6,6,https://spclient.wg.spotify.com/v1/live-tile-xml?region=VN&language=vi-VN,119,0,49
1724655297582,86,Login-139,200,OK,Spike test 1-25,text,true,,1154,967,7,7,https://beacons.gcp.gvt2.com/domainreliability/upload,86,0,63
1724655297568,149,Login-142,200,OK,Spike test 1-30,text,true,,2177,4558,7,7,https://excel.officeapps.live.com/x/_vti_bin/EwaInternalWebService.json/GetSessionStatus?context=%7B%22WorkbookMetadataParameter%22%3A%7B%22WorkbookMetadataState%22%3A%7B%22MetadataVersion%22%3A6%2C%22ServerEventVersion%22%3A0%7D%7D%2C%22ClientRequestId%22%3A%22c72e390d-2ab4-4ab8-a3c3-f2ba89d80202%22%2C%22InstantaneousType%22%3A0%2C%22MakeInstantaneousChange%22%3Afalse%2C%22SessionId%22%3A%2215.SG2PEPF000DE94D1.A108.1.U36.76faff0a-d272-4f3d-b910-ded867cb7cb414.5.en-US5.en-US16.1003200184ed79ce1.S24.XgfuPf5MmEywg3lUbuHWQg%3D%3D16.16.0.18019.4230814.5.en-US5.en-US1.M1.N0.1.S%22%2C%22TransientEditSessionToken%22%3A%221fBS%2F9VTUUaYz1Cor2hHjw%3D%3D%22%2C%22PermissionFlags%22%3A786431%2C%22Configurations%22%3A5767952%2C%22CompleteResponseTimeout%22%3A0%2C%22IsWindowHidden%22%3Atrue%2C%22IsWindowVisible%22%3Afalse%2C%22CollaborationParameter%22%3A%7B%22CollaborationState%22%3A%7B%22UserListVersion%22%3A2%2C%22CollabStateId%22%3A6%7D%7D%2C%22MachineCluster%22%3A%22PSG4%22%2C%22AjaxOptions%22%3A0%2C%22ReturnSheetProcessedData%22%3Afalse%2C%22HasAnyNonOcsCoauthor%22%3Afalse%7D&waccluster=PSG4,149,0,107
1724655295669,2029,Login,,"Number of samples in transaction : 6, number of failing samples : 1",Spike test 1-30,,false,,7562,126045,7,7,null,1949,19,789
1724655297669,76,Login-140,204,No Content,Spike test 1-25,text,true,,391,1297,7,7,https://video.google.com/api/stats/watchtime?ns=gd&el=preview&cpn=ffkXBc4gPbSRuVEQ&ver=2&cmt=724.26&fmt=137&fs=0&rt=914.321&euri=https%3A%2F%2Fdrive.google.com%2F&lact=33799&cl=665637979&state=paused&volume=100&cbr=Chrome&cbrver=126.0.0.0&c=WEB_EMBEDDED_PLAYER&cver=1.20240820.01.00&cplayer=UNIPLAYER&cos=Windows&cosver=10.0&cplatform=DESKTOP&hl=en_US&cr=VN&len=747.357&rtn=954&afmt=140&idpj=-1&ldpj=-3&rti=914&st=721.96&et=724.26&muted=0&docid=1CfAfELzNft4MijLESZ9jLCLUHvCHsySf,0,0,49
1724655296476,1313,Login-141,400,Exception while decoding the payload,Spike test 1-29,text,false,,532,117164,7,7,https://self.events.data.microsoft.com/OneCollector/1.0/,1313,0,364
1724655297664,146,Login-137,200,OK,Spike test 1-24,text,true,,1032,1913,7,7,https://play.google.com/log?format=json&hasfast=true&authuser=0,146,0,67
1724655297718,108,Add requirement-143,200,OK,Spike test 1-30,text,true,,3209,1050,7,7,https://assets.msn.com/content/v1/cms/api/amp/Document/BBIcbQS?akmprotocol=h2,108,0,71
1724655297827,39,Add requirement-144,200,OK,Spike test 1-30,text,true,,2903,1034,7,7,https://assets.msn.com/content/v1/cms/api/amp/Document/AAPDEK,39,0,0
1724655297789,130,Login-142,200,OK,Spike test 1-29,text,true,,2174,4558,7,7,https://excel.officeapps.live.com/x/_vti_bin/EwaInternalWebService.json/GetSessionStatus?context=%7B%22WorkbookMetadataParameter%22%3A%7B%22WorkbookMetadataState%22%3A%7B%22MetadataVersion%22%3A6%2C%22ServerEventVersion%22%3A0%7D%7D%2C%22ClientRequestId%22%3A%22c72e390d-2ab4-4ab8-a3c3-f2ba89d80202%22%2C%22InstantaneousType%22%3A0%2C%22MakeInstantaneousChange%22%3Afalse%2C%22SessionId%22%3A%2215.SG2PEPF000DE94D1.A108.1.U36.76faff0a-d272-4f3d-b910-ded867cb7cb414.5.en-US5.en-US16.1003200184ed79ce1.S24.XgfuPf5MmEywg3lUbuHWQg%3D%3D16.16.0.18019.4230814.5.en-US5.en-US1.M1.N0.1.S%22%2C%22TransientEditSessionToken%22%3A%221fBS%2F9VTUUaYz1Cor2hHjw%3D%3D%22%2C%22PermissionFlags%22%3A786431%2C%22Configurations%22%3A5767952%2C%22CompleteResponseTimeout%22%3A0%2C%22IsWindowHidden%22%3Atrue%2C%22IsWindowVisible%22%3Afalse%2C%22CollaborationParameter%22%3A%7B%22CollaborationState%22%3A%7B%22UserListVersion%22%3A2%2C%22CollabStateId%22%3A6%7D%7D%2C%22MachineCluster%22%3A%22PSG4%22%2C%22AjaxOptions%22%3A0%2C%22ReturnSheetProcessedData%22%3Afalse%2C%22HasAnyNonOcsCoauthor%22%3Afalse%7D&waccluster=PSG4,130,0,81
1724655295999,1914,Login,,"Number of samples in transaction : 6, number of failing samples : 1",Spike test 1-29,,false,,7659,126045,7,7,null,1841,7,690
1724655297810,147,Login-138,200,OK,Spike test 1-24,text,true,,2204,146,7,7,https://spclient.wg.spotify.com/v1/live-tile-xml?region=VN&language=vi-VN,147,0,65
1724655297867,124,Add requirement-146,204,No Content,Spike test 1-30,text,true,,1964,1282,7,7,https://translate.google.com/_/TranslateWebserverUi/gen204/?tmambps=0.008642518179161663&rtembps=-1&rttms=23.73285502320798&ct=undefined,0,0,83
