timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1724654610081,128,Login-137,200,OK,Load test 1-3,text,true,,1271,1913,15,15,https://play.google.com/log?format=json&hasfast=true&authuser=0,128,0,54
1724654610064,140,Login-137,200,OK,Load test 1-1,text,true,,1122,1913,15,15,https://play.google.com/log?format=json&hasfast=true&authuser=0,140,0,69
1724654610071,134,Login-137,200,OK,Load test 1-2,text,true,,1188,1913,15,15,https://play.google.com/log?format=json&hasfast=true&authuser=0,134,0,62
1724654610093,121,Login-137,200,OK,Load test 1-4,text,true,,1043,1913,16,16,https://play.google.com/log?format=json&hasfast=true&authuser=0,121,0,52
1724654610102,141,Login-137,200,OK,Load test 1-5,text,true,,1078,1913,19,19,https://play.google.com/log?format=json&hasfast=true&authuser=0,141,0,67
1724654610112,151,Login-137,200,OK,Load test 1-6,text,true,,1251,1913,21,21,https://play.google.com/log?format=json&hasfast=true&authuser=0,151,0,70
1724654610121,158,Login-137,200,OK,Load test 1-7,text,true,,1057,1913,22,22,https://play.google.com/log?format=json&hasfast=true&authuser=0,158,0,81
1724654610136,147,Login-137,200,OK,Load test 1-8,text,true,,1220,1913,23,23,https://play.google.com/log?format=json&hasfast=true&authuser=0,147,0,72
1724654610143,145,Login-137,200,OK,Load test 1-9,text,true,,1047,1913,23,23,https://play.google.com/log?format=json&hasfast=true&authuser=0,145,0,68
1724654610153,147,Login-137,200,OK,Load test 1-10,text,true,,1173,1913,24,24,https://play.google.com/log?format=json&hasfast=true&authuser=0,147,0,72
1724654610161,150,Login-137,200,OK,Load test 1-11,text,true,,1037,1913,25,25,https://play.google.com/log?format=json&hasfast=true&authuser=0,149,0,75
1724654610182,147,Login-137,200,OK,Load test 1-13,text,true,,1056,1913,27,27,https://play.google.com/log?format=json&hasfast=true&authuser=0,147,0,70
1724654610173,156,Login-137,200,OK,Load test 1-12,text,true,,1202,1913,27,27,https://play.google.com/log?format=json&hasfast=true&authuser=0,156,0,72
1724654610195,143,Login-137,200,OK,Load test 1-14,text,true,,1084,1913,28,28,https://play.google.com/log?format=json&hasfast=true&authuser=0,143,0,67
1724654610211,128,Login-138,200,OK,Load test 1-3,text,true,,2204,146,28,28,https://spclient.wg.spotify.com/v1/live-tile-xml?region=VN&language=vi-VN,128,0,57
1724654610211,138,Login-138,200,OK,Load test 1-2,text,true,,1778,146,29,29,https://spclient.wg.spotify.com/v1/live-tile-xml?region=VN&language=vi-VN,138,0,60
1724654610211,138,Login-138,200,OK,Load test 1-1,text,true,,1778,146,29,29,https://spclient.wg.spotify.com/v1/live-tile-xml?region=VN&language=vi-VN,138,0,56
1724654610215,135,Login-138,200,OK,Load test 1-4,text,true,,1778,146,29,29,https://spclient.wg.spotify.com/v1/live-tile-xml?region=VN&language=vi-VN,135,0,55
1724654610204,149,Login-137,200,OK,Load test 1-15,text,true,,1225,1913,30,30,https://play.google.com/log?format=json&hasfast=true&authuser=0,149,0,69
1724654610213,148,Login-137,200,OK,Load test 1-16,text,true,,1218,1913,30,30,https://play.google.com/log?format=json&hasfast=true&authuser=0,145,0,69
1724654610245,121,Login-138,200,OK,Load test 1-5,text,true,,2129,146,31,31,https://spclient.wg.spotify.com/v1/live-tile-xml?region=VN&language=vi-VN,121,0,53
1724654610231,150,Login-137,200,OK,Load test 1-18,text,true,,1152,1913,32,32,https://play.google.com/log?format=json&hasfast=true&authuser=0,150,0,70
1724654610223,162,Login-137,200,OK,Load test 1-17,text,true,,1037,1913,33,33,https://play.google.com/log?format=json&hasfast=true&authuser=0,161,0,69
1724654610242,145,Login-137,200,OK,Load test 1-19,text,true,,1208,1913,33,33,https://play.google.com/log?format=json&hasfast=true&authuser=0,145,0,69
1724654610264,126,Login-138,200,OK,Load test 1-6,text,true,,1778,146,33,33,https://spclient.wg.spotify.com/v1/live-tile-xml?region=VN&language=vi-VN,126,0,53
1724654610253,153,Login-137,200,OK,Load test 1-20,text,true,,1190,1913,34,34,https://play.google.com/log?format=json&hasfast=true&authuser=0,153,0,72
1724654610280,126,Login-138,200,OK,Load test 1-7,text,true,,1778,146,34,34,https://spclient.wg.spotify.com/v1/live-tile-xml?region=VN&language=vi-VN,126,0,52
1724654610264,149,Login-137,200,OK,Load test 1-21,text,true,,1076,1913,35,35,https://play.google.com/log?format=json&hasfast=true&authuser=0,147,0,70
1724654610284,130,Login-138,200,OK,Load test 1-8,text,true,,2204,146,35,35,https://spclient.wg.spotify.com/v1/live-tile-xml?region=VN&language=vi-VN,130,0,53
1724654610272,142,Login-137,200,OK,Load test 1-22,text,true,,1216,1913,35,35,https://play.google.com/log?format=json&hasfast=true&authuser=0,142,0,67
1724654610289,132,Login-138,200,OK,Load test 1-9,text,true,,1778,146,36,36,https://spclient.wg.spotify.com/v1/live-tile-xml?region=VN&language=vi-VN,132,0,52
1724654610340,86,Login-139,200,OK,Load test 1-3,text,true,,1154,967,37,37,https://beacons.gcp.gvt2.com/domainreliability/upload,86,0,58
1724654610303,126,Login-137,200,OK,Load test 1-25,text,true,,1073,1913,37,37,https://play.google.com/log?format=json&hasfast=true&authuser=0,126,0,57
1724654610350,82,Login-139,200,OK,Load test 1-4,text,true,,1154,967,37,37,https://beacons.gcp.gvt2.com/domainreliability/upload,82,0,58
1724654610350,83,Login-139,200,OK,Load test 1-2,text,true,,1154,967,37,37,https://beacons.gcp.gvt2.com/domainreliability/upload,83,0,56
1724654610284,150,Login-137,200,OK,Load test 1-23,text,true,,1195,1913,38,38,https://play.google.com/log?format=json&hasfast=true&authuser=0,148,0,73
1724654610301,136,Login-138,200,OK,Load test 1-10,text,true,,1778,146,38,38,https://spclient.wg.spotify.com/v1/live-tile-xml?region=VN&language=vi-VN,136,0,58
1724654610290,148,Login-137,200,OK,Load test 1-24,text,true,,1173,1913,38,38,https://play.google.com/log?format=json&hasfast=true&authuser=0,148,0,70
1724654610350,89,Login-139,200,OK,Load test 1-1,text,true,,1154,967,38,38,https://beacons.gcp.gvt2.com/domainreliability/upload,89,0,60
1724654610312,128,Login-137,200,OK,Load test 1-26,text,true,,1094,1913,38,38,https://play.google.com/log?format=json&hasfast=true&authuser=0,128,0,55
1724654610320,132,Login-137,200,OK,Load test 1-27,text,true,,1154,1913,39,39,https://play.google.com/log?format=json&hasfast=true&authuser=0,132,0,61
1724654610333,130,Login-137,200,OK,Load test 1-28,text,true,,1198,1913,41,41,https://play.google.com/log?format=json&hasfast=true&authuser=0,130,0,57
1724654610311,155,Login-138,200,OK,Load test 1-11,text,true,,2204,146,41,41,https://spclient.wg.spotify.com/v1/live-tile-xml?region=VN&language=vi-VN,155,0,71
1724654610347,123,Login-137,200,OK,Load test 1-29,text,true,,1192,1913,41,41,https://play.google.com/log?format=json&hasfast=true&authuser=0,123,0,54
1724654610366,110,Login-139,200,OK,Load test 1-5,text,true,,1154,967,42,42,https://beacons.gcp.gvt2.com/domainreliability/upload,110,0,77
1724654610354,125,Login-137,200,OK,Load test 1-30,text,true,,1141,1913,42,42,https://play.google.com/log?format=json&hasfast=true&authuser=0,125,0,57
1724654610339,154,Login-138,200,OK,Load test 1-14,text,true,,1778,146,43,43,https://spclient.wg.spotify.com/v1/live-tile-xml?region=VN&language=vi-VN,154,0,69
1724654610330,163,Login-138,200,OK,Load test 1-13,text,true,,2129,146,44,44,https://spclient.wg.spotify.com/v1/live-tile-xml?region=VN&language=vi-VN,163,0,68
1724654610330,163,Login-138,200,OK,Load test 1-12,text,true,,1778,146,44,44,https://spclient.wg.spotify.com/v1/live-tile-xml?region=VN&language=vi-VN,163,0,70
1724654610415,85,Login-139,200,OK,Load test 1-8,text,true,,1196,967,44,44,https://beacons.gcp.gvt2.com/domainreliability/upload,85,0,56
1724654610391,110,Login-139,200,OK,Load test 1-6,text,true,,1154,967,44,44,https://beacons.gcp.gvt2.com/domainreliability/upload,110,0,71
1724654610354,154,Login-138,200,OK,Load test 1-15,text,true,,2204,146,45,45,https://spclient.wg.spotify.com/v1/live-tile-xml?region=VN&language=vi-VN,154,0,68
1724654610422,86,Login-139,200,OK,Load test 1-9,text,true,,1197,967,45,45,https://beacons.gcp.gvt2.com/domainreliability/upload,86,0,56
1724654610361,154,Login-138,200,OK,Load test 1-16,text,true,,1778,146,46,46,https://spclient.wg.spotify.com/v1/live-tile-xml?region=VN&language=vi-VN,154,0,70
