Title,Category,Status,Priority,StartDate,EndDate,IssueType,Severity,Environment,Description,CreatedAt,UpdatedAt,AssignedTo,TestRunID
Update error messages for login,Improvement,In Progress,Medium,8/9/2022,11/1/2022,Tracking,Critical,QA,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",2022-09-29T07:59:39Z,2024-05-18T22:13:14Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6adf
Improve checkout process,Bug,In Progress,Medium,9/11/2022,8/10/2023,Performance,Critical,QA,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,2021-07-12T00:21:14Z,2023-01-19T12:10:57Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae3
Improve search functionality,Improvement,Closed,High,12/5/2022,6/18/2024,UI/Design,Critical,Production,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",2021-08-26T10:09:49Z,2024-05-22T12:13:52Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae8
Optimize database queries,Bug,Closed,Low,1/22/2023,4/1/2024,Performance,Major,Development,"Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",2021-05-30T21:27:12Z,2024-05-15T07:20:31Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae3
Product image not loading on details page,Bug,In Progress,Medium,10/17/2022,11/20/2023,Performance,Critical,QA,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,2022-12-24T14:10:03Z,2024-07-26T02:40:20Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae7
Fix server error on checkout,Improvement,In Progress,High,8/13/2023,11/10/2022,Server Error,Minor,Development,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",2021-08-04T22:22:09Z,2023-02-16T04:59:39Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae1
Login button not responsive,Improvement,Closed,Low,9/5/2022,4/7/2023,UI/Design,Critical,Staging,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,2022-10-17T12:22:43Z,2024-06-09T09:53:57Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae7
Implement pagination for search results,Task,Closed,Medium,9/13/2022,5/26/2024,SEO,Major,QA,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.",2022-11-19T20:48:55Z,2024-05-16T16:27:19Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae8
Fix broken links on product details page,Bug,Open,Medium,9/29/2022,1/11/2024,UI/Design,Minor,QA,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",2022-08-22T13:06:58Z,2024-04-24T15:21:52Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae9
Update error messages for login,Bug,Open,High,6/1/2023,12/19/2022,Server Error,Major,QA,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,2021-03-22T14:18:08Z,2024-04-22T04:38:17Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae9
