Title,Priority,Precondition,Description,CreatedAt,UpdatedAt,ModuleID,TestPlanID
Verify product details are displayed correctly,Medium,User has items in the shopping cart,Attempt to remove product from cart and verify success message is displayed.,2022-07-09T18:43:08Z,2023-03-12T23:32:34Z,666017adf902bdf00016abc0,66601d7f32c5408430429d1a
Verify currency conversion accuracy for EUR to USD,Low,User is on the product search page,Enter valid username and password and verify successful login.,2022-01-10T09:45:47Z,2023-11-12T20:59:03Z,666017adf902bdf00016abc4,66601d7f32c5408430429d1b
Verify product price is displayed correctly,Medium,User is on the currency conversion page,Enter valid data and verify successful registration.,2022-10-11T14:14:36Z,2023-05-14T22:08:29Z,666017adf902bdf00016abc4,66601d7f32c5408430429d19
Verify product reviews are sorted by date,Medium,User is on the currency conversion page,Enter invalid product ID and verify appropriate message is displayed.,2022-01-31T07:20:57Z,2023-12-14T01:58:04Z,666017adf902bdf00016abc7,66601d7f32c5408430429d19
Verify user can proceed to checkout,High,User is on the product details page,Attempt to remove product from cart and verify success message is displayed.,2022-11-29T06:34:31Z,2024-03-17T11:48:31Z,666017adf902bdf00016abc4,66601d7f32c5408430429d1b
Verify search functionality handles empty query,Low,User has items in the shopping cart,Leave search query empty and verify appropriate message is displayed.,2021-11-14T10:06:53Z,2023-12-30T09:16:24Z,666017adf902bdf00016abc3,66601d7f32c5408430429d19
Verify user can complete purchase,High,User has items in the shopping cart,View product details and verify all information is displayed correctly.,2021-06-16T14:44:14Z,2024-06-29T22:17:24Z,666017adf902bdf00016abc5,66601d7f32c5408430429d1a
Verify user can remove product from cart,Medium,User is on the product details page,Enter valid payment details and verify successful purchase completion.,2021-05-15T06:54:41Z,2023-10-09T18:42:01Z,666017adf902bdf00016abc1,66601d7f32c5408430429d1b
Verify product details are displayed correctly,Low,User has items in the shopping cart,Enter search query and verify correct products are displayed.,2022-09-22T19:10:02Z,2024-01-14T05:17:16Z,666017adf902bdf00016abc6,66601d7f32c5408430429d1a
Verify product availability status is accurate,Medium,User is on the product search page,Attempt to remove product from cart and verify success message is displayed.,2021-07-24T11:50:02Z,2024-01-04T16:39:42Z,666017adf902bdf00016abc4,66601d7f32c5408430429d1a
Verify login with valid credentials,Low,User is on the product search page,Attempt to proceed to checkout and verify correct redirection to checkout page. Enter valid discount code and verify discount is applied correctly.,2021-07-28T09:10:24Z,2023-03-02T07:55:41Z,666017adf902bdf00016abc2,66601d7f32c5408430429d1a
Verify login with valid credentials,Low,User is on the product details page,Check if product price is displayed accurately with correct currency format.,2021-01-12T14:39:04Z,2024-03-17T10:22:37Z,666017adf902bdf00016abc6,66601d7f32c5408430429d19
Verify product price is displayed correctly,Medium,User is on the product search page,Enter invalid username and password and verify error message.,2022-10-05T19:46:06Z,2023-10-21T07:25:43Z,666017adf902bdf00016abc8,66601d7f32c5408430429d1b
Verify search functionality handles empty query,High,User is on the login page,Enter invalid username and password and verify error message.,2021-09-06T20:58:42Z,2023-02-02T02:16:07Z,666017adf902bdf00016abc2,66601d7f32c5408430429d1b
Verify user can proceed to checkout,Medium,User is on the login page,Attempt to proceed to checkout and verify correct redirection to checkout page. Enter valid discount code and verify discount is applied correctly.,2022-01-07T07:20:04Z,2024-02-02T05:02:27Z,666017adf902bdf00016abc3,66601d7f32c5408430429d1a
Verify product details page handles invalid product ID,Low,User is on the registration page,Check if product availability status is updated in real-time.,2021-02-03T01:32:27Z,2024-05-06T02:49:07Z,666017adf902b,66601d7f32c5408430429d1a
Verify registration with invalid data,Low,User is on the checkout page,Attempt to remove product from cart and verify success message is displayed.,2021-01-24T14:18:36Z,2023-06-29T08:26:21Z,666017adf902bdf00016abc2,66601d7f32c5408430429d1b
Verify user can add product to cart,High,User has items in the shopping cart,Enter USD amount and verify accurate conversion to EUR.,2022-05-04T20:54:15Z,2023-05-14T19:58:00Z,666017adf902bdf00016abc1,66601d7f32c5408430429d1b
Verify user can remove product from cart,High,User has items in the shopping cart,Enter invalid data and verify error message.,2021-06-06T18:32:32Z,2023-01-13T23:05:36Z,666017adf902bdf00016abc8,66601d7f32c5408430429d1b
Verify login with valid credentials,Medium,User is on the login page,Enter invalid username and password and verify error message.,2022-03-11T18:27:54Z,2024-05-02T14:14:19Z,666017adf902b,66601d7f32c5408430429d1a
Verify currency conversion accuracy for USD to EUR,Low,User has items in the shopping cart,View product details and verify all information is displayed correctly.,2022-07-05T05:38:42Z,2024-08-21T00:55:08Z,666017adf902bdf00016abc7,66601d7f32c5408430429d19
